127.0.0.1 - - [05/Jun/2022:13:44:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:44:38 +0900] "GET /chap10_JSP/Test/loginWrite.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:44:38 +0900] "GET /chap10_JSP/Test/loginWrite.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:44:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:44:52 +0900] "POST /chap10_JSP/Test/loginWrite.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:44:58 +0900] "POST /chap10_JSP/Test/loginWrite.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:45:02 +0900] "GET /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:45:12 +0900] "POST /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:45:16 +0900] "GET /chap10_JSP/Test/memberWriteSub.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:45:33 +0900] "GET /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:45:37 +0900] "POST /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:45:40 +0900] "POST /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:46:48 +0900] "GET /chap10_JSP/Test/myPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:47:20 +0900] "GET /chap10_JSP/Test/messageBox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:13:47:31 +0900] "GET /chap10_JSP/Test/sendMessage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:24:53 +0900] "GET /chap10_JSP/Test/loginWrite.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:24:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:24:57 +0900] "POST /chap10_JSP/Test/loginWrite.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:25:00 +0900] "POST /chap10_JSP/Test/loginWrite.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:25:02 +0900] "POST /chap10_JSP/Test/loginWrite.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:25:03 +0900] "GET /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [05/Jun/2022:14:25:06 +0900] "POST /chap10_JSP/Test/findMemberInfo.html HTTP/1.1" 200 1086
